Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
8120501;14454813;14386243;2;KU;37;N; ;0;ei henkilövahinkoa;   ;AB          ;19
8120501;14455001;14385615;3;KU;61;N; ;0;ei henkilövahinkoa;   ;AB          ;27
8120501;14455143;14385029;1;KU;55;M; ;0;ei henkilövahinkoa;   ;            ;
8131106;14473367;14404515;1;KU;80;M; ;0;ei henkilövahinkoa;SF ;ABE         ;49
8131106;14473368;14404514;2;KU;37;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;19
8120001;14456046;14384211;1;KU;56;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;38
8121338;14456295;14387491;1;KU;68;M; ;L;loukkaantunut;SF ;ABEC        ;42
8121338;14456296;14387490;2;KU;29;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;12
8121705;14457603;14388178;1;KU;51;N; ;0;ei henkilövahinkoa;SF ;ABE         ;32
8121705;14457603;14388179;1;MA;;N; ;0;ei henkilövahinkoa;X  ;            ;
8121705;14457604;14388180;2;MA;22;M; ;0;ei henkilövahinkoa;SF ;            ;
8121705;14457604;14388181;2;KU;21;M; ;0;ei henkilövahinkoa;SF ;B           ;
8121690;14457605;14388182;1;XX;; ; ;-;NA;   ;            ;
8121690;14457606;14388183;2;XX;; ; ;-;NA;   ;            ;
8121691;14457607;14388184;1;KU;28;M; ;0;ei henkilövahinkoa;SF ;B           ;5
8121691;14457608;14388185;2;KU;35;M; ;L;loukkaantunut;AFG;B           ;7
8121691;14457609;14388186;3;KU;37;M; ;0;ei henkilövahinkoa;SF ;AB          ;19
8121691;14457610;14388187;4;KU;26;M; ;0;ei henkilövahinkoa;SF ;BEC1EC      ;8
8121224;14456297;14387489;1;KU;24;N; ;0;ei henkilövahinkoa;SF ;B           ;6
8121162;14456298;14387488;1;KU;17;M; ;0;ei henkilövahinkoa;SF ;A1          ;
8121162;14456299;14387487;2;KU;22;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;
8121162;14456300;14387486;3;KU;50;M; ;0;ei henkilövahinkoa;SF ;AB          ;32
8121163;14456301;14387485;1;KU;52;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;34
8121163;14456302;14387484;2;KU;39;M; ;0;ei henkilövahinkoa;SF ;BECE        ;22
8121968;14457611;14388188;1;KU;26;M; ;0;ei henkilövahinkoa;SF ;ABC         ;8
8121968;14457612;14388189;2;JK;79;N; ;L;loukkaantunut;   ;            ;
8121164;14456303;14387483;1;KU;57;M; ;0;ei henkilövahinkoa;SF ;ABECEDE     ;39
8121938;14457613;14388190;1;KU;44;N; ;0;ei henkilövahinkoa;SF ;B           ;26
8121938;14457614;14388191;2;KU;22;M; ;0;ei henkilövahinkoa;SF ;B           ;2
8121938;14457614;14388192;2;MA;22;M; ;L;loukkaantunut;SF ;            ;
8121122;14456304;14387482;1;KU;54;M; ;0;ei henkilövahinkoa;SF ;ABECEDE     ;36
